Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","C_0805_2012Metric",13.081000,-20.472400,90.000000,top
"C3","10uF","C_0805_2012Metric",25.319500,-37.372000,90.000000,top
"C4","470uF","C_Elec_6.3x7.7",28.574000,-24.201500,90.000000,top
"C5","0.1uF","C_0805_2012Metric",27.378900,-43.722000,0.000000,top
"C6","10uF","C_0805_2012Metric",30.424000,-32.739000,180.000000,top
"D2","D_Schottky","D_SOD-123",26.717500,-41.055000,180.000000,top
"H1","MountingHole_Pad","Pin_D1.0mm_L10.0mm",22.124180,-4.222460,0.000000,top
"J1","CONN_01X07","PinHeader_1x07_P2.54mm_Vertical",2.667000,-2.768600,0.000000,top
"J4","TC2030-MCP-NL","TC2020-MCP-NL",8.978000,-2.872400,90.000000,top
"J5","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",28.234000,-46.899000,0.000000,top
"LED1","WIFI status","LED_0805_2012Metric",5.842000,-20.472400,90.000000,top
"LED2","itho status","LED_0805_2012Metric",17.907000,-20.486500,90.000000,top
"Q1","BSS138","SOT-23W",39.598600,-16.510000,-90.000000,top
"Q2","BSS138","SOT-23W",35.600600,-16.510000,-90.000000,top
"R-78E3.3","U2","Converter_DCDC_RECOM_R-78E-0.5_THT",38.201600,-37.922200,180.000000,top
"R1","R10K","R_0805_2012Metric",39.801800,-12.595400,90.000000,top
"R2","R10K","R_0805_2012Metric",35.814000,-12.595400,-90.000000,top
"R3","R10K","R_0805_2012Metric",39.624000,-20.432000,-90.000000,top
"R4","R10K","R_0805_2012Metric",35.560000,-20.432000,-90.000000,top
"R5","R100","R_0805_2012Metric",20.320000,-20.486500,90.000000,top
"R7","R10K","R_0805_2012Metric",15.494000,-20.486500,90.000000,top
"R8","R10K","R_0805_2012Metric",10.668000,-20.472400,90.000000,top
"R9","R100","R_0805_2012Metric",8.255000,-20.472400,-90.000000,top
"R10","R10K","R_0805_2012Metric",23.478000,-20.481000,-90.000000,top
"R11","R1K","R_0805_2012Metric",28.113500,-37.348500,90.000000,top
"SW1","Fail safe","TS-1187",27.482400,-13.843000,-90.000000,top
"SW2","Reset","TS-1187",21.082000,-13.843000,90.000000,top
"U1","ESP32-WROOM","ESP32-WROOM-32E",12.919600,-36.574600,180.000000,top
