"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Reset";"TS-1187";1;"Reset";;;
2;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
3;"Y1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
4;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
5;"H5";"Pin_D1.0mm_L10.0mm";1;"MountingHole_Pad";;;
6;"C10,C9";"C_0805_2012Metric";2;"33pF";;;
7;"SW1";"TS-1187";1;"Fail safe";;;
8;"J1";"micro usb";1;"USB_B_Micro";;;
9;"C8,C3,C6";"C_0805_2012Metric";3;"10uF";;;
10;"J4,J5";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
11;"H4,H3,H1,H2";"MountingHole_2.5mm";4;"MountingHole";;;
12;"R9,R13,R12,R11,R10,R4,R3,R2,R1";"R_0805_2012Metric";9;"R10K";;;
13;"R8,R7";"R_0805_2012Metric";2;"R1K";;;
14;"R6,R5";"R_0805_2012Metric";2;"R100";;;
15;"C2,C1,C7,C5";"C_0805_2012Metric";4;"0.1uF";;;
16;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
17;"R-78E5.0";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
18;"Q4,Q3";"SOT-23";2;"BC847";;;
19;"J2";"RRJ45R08PC000";1;"RJ45_LED_Shielded";;;
20;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
21;"C4";"C_Elec_6.3x7.7";1;"470uF";;;
22;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
23;"LED1";"LED_0805_2012Metric";1;"TX";;;
24;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
25;"LED2";"LED_0805_2012Metric";1;"RX";;;
26;"Q2,Q1";"SOT-23";2;"BSS138";;;
