Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",-23.241000,-20.889000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",-20.508000,-12.446000,180.000000,top
"C3","22uF","C_0805_2012Metric",-2.413000,-27.239000,-90.000000,top
"C4","470uF","CP_EIA-7343-31_Kemet-D",-3.124200,-17.602200,0.000000,top
"C6","10uF","C_0805_2012Metric",-2.413000,-30.927000,90.000000,top
"C7","0.1uF","C_0805_2012Metric",27.174000,-42.383500,180.000000,top
"C8","10uF","C_0805_2012Metric",27.193200,-37.160200,0.000000,top
"C9","33pF","C_0805_2012Metric",-20.066000,-16.891000,180.000000,top
"C10","33pF","C_0805_2012Metric",-16.891000,-20.381000,-90.000000,top
"C11","10uF","C_0805_2012Metric",0.762000,-11.176000,90.000000,top
"H5","MountingHole_Pad","Pin_D1.0mm_L10.0mm",5.994400,-5.003800,0.000000,top
"J1","USB_B_Micro","micro usb",-28.879800,-16.139000,-90.000000,top
"J2","RJ45_LED_Shielded","RRJ45R08PC000",-23.685500,-37.147500,-90.000000,top
"J4","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",-19.812000,-9.271000,180.000000,top
"J5","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",-7.391400,-48.996600,180.000000,top
"LED1","TX","LED_0805_2012Metric",-15.858500,-6.063000,0.000000,top
"LED2","RX","LED_0805_2012Metric",-15.858500,-3.637000,0.000000,top
"Q1","BSS138","SOT-23W",-6.919800,-42.317600,180.000000,top
"Q2","BSS138","SOT-23W",-6.919798,-38.255092,180.000000,top
"Q3","BC847","SOT-23W",20.192000,-21.463000,0.000000,top
"Q4","BC847","SOT-23W",10.397000,-21.463000,180.000000,top
"R1","R10K","R_0805_2012Metric",-2.669300,-42.291000,0.000000,top
"R2","R10K","R_0805_2012Metric",-2.669300,-38.290500,0.000000,top
"R3","R10K","R_0805_2012Metric",-11.349800,-42.343000,180.000000,top
"R4","R10K","R_0805_2012Metric",-11.402300,-38.214500,180.000000,top
"R5","R100","R_0805_2012Metric",-13.946500,-21.717000,180.000000,top
"R6","R100","R_0805_2012Metric",-17.867200,-45.948600,180.000000,top
"R7","R1K","R_0805_2012Metric",-12.008500,-6.063000,180.000000,top
"R8","R1K","R_0805_2012Metric",-12.008500,-3.637000,180.000000,top
"R9","R10K","R_0805_2012Metric",15.119500,-20.540000,0.000000,top
"R10","R10K","R_0805_2012Metric",27.161000,-34.705000,180.000000,top
"R11","R10K","R_0805_2012Metric",15.119500,-22.826000,180.000000,top
"R12","R10K","R_0805_2012Metric",27.184500,-39.725600,0.000000,top
"R13","R10K","R_0805_2012Metric",6.229500,-22.826000,180.000000,top
"SW1","Fail safe","TS-1187",28.067000,-28.609011,-90.000000,top
"SW2","Reset","TS-1187",28.058593,-18.415000,90.000000,top
"U1","ESP32-WROOM","ESP32-WROOM-32E",14.935200,-36.576406,180.000000,top
"U3","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",-14.044600,-12.830600,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",-4.546600,-8.420500,90.000000,top
"U5","780xMT","Mornsun 780xMT",-8.890000,-29.065500,90.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",-20.066000,-20.574000,-90.000000,top
