"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
2;"H2,H1";"MountingHole_2.5mm";2;"MountingHole";;;
3;"ATtiny1614";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny1614-SS";;;
4;"J4";"TC2020-MCP-NL";1;"TC2030-MCP-NL";;;
5;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
6;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Failsafe";;;
7;"R10,R8,R7";"R_0805_2012Metric";3;"10K";;;
8;"C6,C4";"CP_EIA-3216-12_Kemet-S";2;"10uF";;;
9;"REF**";"Pin_D1.0mm_L10.0mm";1;"Pin_D1.0mm_L10.0mm";;;
10;"LED1";"LED_0805_2012Metric";1;"WIFI status";;;
11;"R9,R5";"R_0805_2012Metric";2;"R100";;;
12;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
13;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"CONN_01X07";;;
14;"D1";"D_SOD-123";1;"D_Zener";;;
15;"C5";"C_0805_2012Metric";1;"0.1uF";;;
16;"C2";"C_0805_2012Metric";1;"1uF";;;
17;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
18;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
19;"LED2";"LED_0805_2012Metric";1;"itho status";;;
20;"R6,R4,R3,R2,R1";"R_0805_2012Metric";5;"R10K";;;
21;"C1";"L_0805_2012Metric";1;"0,1uF";;;
22;"Q2,Q1";"SOT-23";2;"BSS138";;;
23;"R-78E5.0";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
24;"J2";"PinSocket_2x04_P2.54mm_Vertical";1;"conn";;;
